ID,Author,Publication Year,Title,Journal,Abstract
1,S. J. Zürcher; C. Banzer; C. Adamus; A. I. Lehmann; D. Richter; P. Kerksieck,2022,Post-viral mental health sequelae in infected persons associated with COVID-19 and previous epidemics and pandemics: Systematic review and meta-analysis of prevalence estimates,J Infect Public Health,"AIMS: Post-viral mental health problems (MHP) in COVID-19 patients and survivors were anticipated already during early stages of this pandemic. We aimed to synthesize the prevalence of the anxiety, depression, post-traumatic and general distress domain associated with virus epidemics since 2002. METHODS: In this systematic review and meta-analysis, we searched PubMed, PsycINFO, and Embase from 2002 to April 14, 2021 for peer-reviewed studies reporting prevalence of MHP in adults with laboratory-confirmed or suspected SARS-CoV-1, H1N1, MERS-CoV, H7N9, Ebolavirus, or SARS-CoV-2 infection. We included studies that assessed post-viral MHP with validated and frequently used scales. A three-level random-effects meta-analysis for dependent effect sizes was conducted to account for multiple outcome reporting. We pooled MHP across all domains and separately by severity (above mild or moderate-to-severe) and by acute (one month), ongoing (one to three months), and post-illness stages (longer than three months). A meta-regression was conducted to test for moderating effects, particularly for exploring estimate differences between SARS-Cov-2 and previous pandemics and epidemics. PROSPERO registration: CRD42020194535. RESULTS: We identified 59 studies including between 14 and 1002 participants and providing 187 prevalence estimates. MHP, in general, decreased from acute to post-illness from 46.3% to 38.8% and for mild and moderate-to-severe from 22.3% to 18.8%, respectively. We found no evidence of moderating effects except for non-random sampling and H1N1 showing higher prevalence. There was a non-significant trend towards lower MHP for SARS-CoV-2 compared to previous epidemics. CONCLUSIONS: MHP prevalence estimates decreased over time but were still on a substantial level at post-illness. Post-viral mental health problems caused by SARS-CoV-2 could have been expected much earlier, given the previous post-viral sequelae."
2,M. Zur; T. Peselev; S. Yanko; V. Rotshild; I. Matok,2024,Efficacy and safety of antiviral treatments for symptomatic COVID-19 outpatients: Systematic review and network meta-analysis,Antiviral Res,"BACKGROUND: Remdesivir, molnupiravir, and nirmatrelvir/ritonavir are three antiviral agents approved by FDA emergency authorization for treating mild to moderate symptomatic COVID-19 adult outpatients at high risk for hospitalization and death. OBJECTIVES: To compare the efficacy and safety of these antivirals based on updated published RCT and real-world data. STUDY DESIGN: This systematic review followed the preferred reporting items for systematic reviews and meta-analysis framework guidelines. We searched all publications up to January 2023. RRs and 95% CIs for death, hospitalization, and adverse events were calculated. RESULTS: Six RCTs and seven cohort studies were included, with 1,456,523 participants, of whom 50,979 were treated with antivirals. Remdesivir was associated with the lowest probability of hospitalization and death compared to nirmatrelvir/ritonavir and molnupiravir (P-scores 0.99 and 0.90, respectively, for remdesivir, 0.64 and 0.55, respectively for nirmatrelvir/ritonavir, and 0.26 and 0.49, respectively for molnupiravir). Based on indirect comparisons, remdesivir was associated with a statistically significant decreased risk for hospitalization compared to molnupiravir (RR 0.09; 95% CI 0.02-0.40) and to nirmatrelvir/ritonavir (RR 0.11; 95% CI 0.03-0.73). No statistically significant difference was found between antivirals in the mortality risk reduction and the risk for side effects. CONCLUSIONS: This is the most comprehensive network meta-analysis integrating RCTs and real-world data. In our indirect comparison, remdesivir was associated with the highest efficacy in preventing hospitalization among high risk symptomatic COVID-19 outpatients, compared to nirmatrelvir/ritonavir and molnupiravir. This finding supports current guidelines, and may have importance when deciding which antiviral to use, together with other important factors."
3,X. Zuo; Y. Chen; L. Ohno-Machado; H. Xu,2021,How do we share data in COVID-19 research? A systematic review of COVID-19 datasets in PubMed Central Articles,Brief Bioinform,"OBJECTIVE: This study aims at reviewing novel coronavirus disease (COVID-19) datasets extracted from PubMed Central articles, thus providing quantitative analysis to answer questions related to dataset contents, accessibility and citations. METHODS: We downloaded COVID-19-related full-text articles published until 31 May 2020 from PubMed Central. Dataset URL links mentioned in full-text articles were extracted, and each dataset was manually reviewed to provide information on 10 variables: (1) type of the dataset, (2) geographic region where the data were collected, (3) whether the dataset was immediately downloadable, (4) format of the dataset files, (5) where the dataset was hosted, (6) whether the dataset was updated regularly, (7) the type of license used, (8) whether the metadata were explicitly provided, (9) whether there was a PubMed Central paper describing the dataset and (10) the number of times the dataset was cited by PubMed Central articles. Descriptive statistics about these seven variables were reported for all extracted datasets. RESULTS: We found that 28.5% of 12 324 COVID-19 full-text articles in PubMed Central provided at least one dataset link. In total, 128 unique dataset links were mentioned in 12 324 COVID-19 full text articles in PubMed Central. Further analysis showed that epidemiological datasets accounted for the largest portion (53.9%) in the dataset collection, and most datasets (84.4%) were available for immediate download. GitHub was the most popular repository for hosting COVID-19 datasets. CSV, XLSX and JSON were the most popular data formats. Additionally, citation patterns of COVID-19 datasets varied depending on specific datasets. CONCLUSION: PubMed Central articles are an important source of COVID-19 datasets, but there is significant heterogeneity in the way these datasets are mentioned, shared, updated and cited."
4,M. V. Zunzunegui; F. Béland; F. J. García López,2023,Restrictions on Hospital Referrals from Long-Term Care Homes in Madrid and COVID-19 Mortality from March to June 2020: A Systematic Review of Studies Conducted in Spain,Epidemiologia (Basel),"In March 2020, a ministerial directive issued by the Government of the Community of Madrid (CoM) in Spain included disability-based exclusion criteria and recommendations against hospital referral of patients with respiratory conditions living in long-term care homes (LTCHs). Our objective was to assess whether the hospitalization mortality ratio (HMR) is greater than unity, as would be expected had the more severe COVID-19 cases been hospitalized. Thirteen research publications were identified in this systematic review of mortality by place of death of COVID-19-diagnosed LTCH residents in Spain. In the two CoM studies, the HMRs were 0.9 (95%CI 0.8;1.1) and 0.7 (95%CI 0.5;0.9), respectively. Outside of the CoM, in 9 out of 11 studies, the reported HMRs were between 1.7 and 5, with lower 95% CI limits over one. Evaluation of the disability-based triage of LTCH residents during March-April 2020 in public hospitals in the CoM should be conducted."
5,M. Zunza; T. Young; M. Cotton; A. Slogrove; L. Mbuagbaw; L. Kuhn; L. Thabane,2023,"Evaluating interactive weekly mobile phone text messaging plus motivational interviewing for breastfeeding promotion among women living with HIV, giving normal birth at a primary healthcare facility in South Africa: a feasibility randomised controlled trial",BMJ Open,"OBJECTIVES: We assessed the feasibility of an appropriately powered randomised trial by evaluating whether participants could be recruited and retained, and sought preliminary information on exclusive breastfeeding rates. SETTING: Primary healthcare facility, serving a rural community. PARTICIPANTS: Women initiating breast feeding within 24 hours of giving birth, on antiretroviral treatment and aged ≥18 years. INTERVENTIONS: We randomised mother-infant pairs to receive weekly text messaging encouraging exclusive breast feeding plus in-person individual motivational interviews post partum at weeks 2, 6 and 10, or standard infant feeding counselling. OUTCOME MEASURES: The feasibility endpoints included number of participants who consented to participate and number with complete evaluation of infant feeding practices at study visits. Exploratory endpoints included number of participants who exclusively breast fed at 24 weeks post partum and number of participants adhering to study protocol. RESULTS: Of 123 mothers screened, 52 participants consented for participation. We recruited an average of five participants per month over 11 months. Most participants were unemployed (75%), had some high school education (84%) and had disclosed their HIV status to someone close (88%). About 65% participants completed outcome evaluation at week 10, decreasing to 35% at week 24. Twenty participants had the week 24 visit planned between 20 March and August 2020, during COVID-19 lockdown. Of these, 4 completed the visit telephonically, 16 were lost to follow-up. Exclusive breastfeeding rate remained relatively high across both groups through week 24. The difference in exclusive breastfeeding rates between the intervention and control groups was minimal: rate difference 22.2% (95% CI -20.1% to 64.5%). CONCLUSIONS: With a large eligible target population, recruitment targets could be achieved for a large trial. Strategies to retain participants, such as remote monitoring and in-person follow-up visits, will be essential. TRIAL REGISTRATION NUMBER: ClinicalTrials.gov Registry (NCT02949713) and Pan African Clinical Trial Registry (PACTR201611001855404)."
6,A. E. Zülke; A. Pabst; M. Luppa; S. Roehr; H. Seidling; A. Oey; M. I. Cardona; I. Blotenberg; A. Bauer; S. Weise; I. Zöllinger; L. Sanftenberg; C. Brettschneider; J. Döhring; L. Lunden; D. Czock; W. E. Haefeli; B. Wiese; W. Hoffmann; T. Frese; J. Gensichen; H. H. König; H. Kaduszkiewicz; J. R. Thyrian; S. G. Riedel-Heller,2024,A multidomain intervention against cognitive decline in an at-risk-population in Germany: Results from the cluster-randomized AgeWell.de trial,Alzheimers Dement,"INTRODUCTION: We investigated the effectiveness of a multidomain intervention to preserve cognitive function in older adults at risk for dementia in Germany in a cluster-randomized trial. METHODS: Individuals with a Cardiovascular Risk Factors, Aging, and Dementia (CAIDE) risk score ≥ 9 aged 60 to 77 years were recruited. After randomization of their general practitioner (GP), patients received a multidomain intervention (including optimization of nutrition and medication, and physical, social, and cognitive activity) or general health advice and GP treatment as usual over 24 months. Primary outcome was global cognitive performance (composite z score, based on domain-specific neuropsychological tests). RESULTS: Of 1030 participants at baseline, n = 819 completed the 24-month follow-up assessment. No differences regarding global cognitive performance (average marginal effect = 0.010, 95% confidence interval: -0.113, 0.133) were found between groups at follow-up. Perceived restrictions in intervention conduct by the COVID-19 pandemic did not impact intervention effectiveness. DISCUSSION: The intervention did not improve global cognitive performance. HIGHLIGHTS: Overall, no intervention effects on global cognitive performance were detected. The multidomain intervention improved health-related quality of life in the total sample. In women, the multidomain intervention reduced depressive symptoms. The intervention was completed during the COVID-19 pandemic."
7,S. Zulfiqar; R. B. Gasser; S. Ghodsian; M. Almukhtar; C. Holland; A. Rostami,2023,Strongyloides coinfection in COVID-19 patients treated with corticosteroids: A systematic review,Rev Med Virol,"The COVID-19 pandemic linked to the virus SARS-CoV-2, which began in China, affected ∼765 million people as of 30 April 2023. The widespread use of corticosteroids for the symptomatic treatment of COVID-19 could lead to the reactivation of infections of opportunistic pathogens, including Strongyloides. We sought to determine the clinical symptoms and demographic characteristics of SARS-CoV-2-Strongyloides co-infection, particularly in patients with severe disease and being treated with immunosuppressive drugs. To do this, we undertook a systematic review of the literature, and searched public accessible scientific databases-the Web of Science, Scopus, PubMed/Medline and Embase -for eligible studies (1 December 2019 to 30 August 2022). The review protocol is registered in PROSPERO (CRD42022377062). Descriptive statistical analyses were used to present the clinical and laboratory parameters of the co-infection; for this, we calculated prevalence using the following formula: positive cases/total number of cases × 100. Of a total of 593 studies identified, 17 studies reporting 26 co-infected patients met the criteria for inclusion in this review. The median age of these patients was 55.14 years. Most of cases (53.8%) were treated with dexamethasone, followed by methylprednisolone (26.9%). Eighteen of 26 patients were immigrants living in European countries or the USA; most of these immigrants originated from Latin America (58%) and South-East Asia (11%). The commonest symptoms of co-infection were abdominal pain (50%), fever (46.1%), dyspnoea (30.7%) and cough (30.7%), and frequently reported laboratory findings were high absolute eosinophil count (38.4%), high white blood cell count (30.7%), high C-reactive protein (23.0%) and high neutrophil count (19.2%). Two of the 26 patients (7.7%) had fatal outcomes. Most of the SARS-CoV-2-Strongyloides coinfected cases were immigrants living in developed countries, emphasising the need for clinicians in these countries to be aware of clinical and laboratory parameters associated with such co-infections, as well as the key importance of rapid and accurate diagnostic tests for timely and effective diagnosis and patient management."
8,A. Zulbaran-Rojas; M. Lee; R. O. Bara; A. Flores-Camargo; G. Spitz; M. G. Finco; A. B. Bagheri; D. Modi; F. Shaib; B. Najafi,2023,Electrical stimulation to regain lower extremity muscle perfusion and endurance in patients with post-acute sequelae of SARS CoV-2: A randomized controlled trial,Physiol Rep,"Muscle deconditioning and impaired vascular function in the lower extremities (LE) are among the long-term symptoms experienced by COVID-19 patients with a history of severe illness. These symptoms are part of the post-acute sequelae of Sars-CoV-2 (PASC) and currently lack evidence-based treatment. To investigate the efficacy of lower extremity electrical stimulation (E-Stim) in addressing PASC-related muscle deconditioning, we conducted a double-blinded randomized controlled trial. Eighteen (n = 18) patients with LE muscle deconditioning were randomly assigned to either the intervention (IG) or the control (CG) group, resulting in 36 LE being assessed. Both groups received daily 1 h E-Stim on both gastrocnemius muscles for 4 weeks, with the device functional in the IG and nonfunctional in the CG. Changes in plantar oxyhemoglobin (OxyHb) and gastrocnemius muscle endurance (GNMe) in response to 4 weeks of daily 1 h E-Stim were assessed. At each study visit, outcomes were measured at onset (t(0) ), 60 min (t(60) ), and 10 min after E-Stim therapy (t(70) ) by recording ΔOxyHb with near-infrared spectroscopy. ΔGNMe was measured with surface electromyography at two time intervals: 0-5 min (Intv(1) ) and: 55-60 min (Intv(2) ). Baseline OxyHb decreased in both groups at t(60) (IG: p = 0.046; CG: p = 0.026) and t(70) (IG = p = 0.021; CG: p = 0.060) from t(0) . At 4 weeks, the IG's OxyHb increased from t(60) to t(70) (p < 0.001), while the CG's decreased (p = 0.003). The IG had higher ΔOxyHb values than the CG at t(70) (p = 0.004). Baseline GNMe did not increase in either group from Intv(1) to Intv(2) . At 4 weeks, the IG's GNMe increased (p = 0.031), whereas the CG did not change. There was a significant association between ΔOxyHb and ΔGNMe (r = 0.628, p = 0.003) at 4 weeks in the IG. In conclusion, E-Stim can improve muscle perfusion and muscle endurance in individuals with PASC experiencing LE muscle deconditioning."
9,M. Zuin; L. Roncon; G. Zuliani,2022,Echocardiographic systolic pulmonary arterial pressure and mortality in coronavirus disease 2019 patients,J Cardiovasc Med (Hagerstown),"AIMS: We perfromed a systematic review and meta-analysis to compare the echocardiographic systolic pulmonary arterial pressure (sPAP) difference between COVID-19 survivors (S) and nonsurvivors (NS). METHODS: MEDLINE and Scopus databases were systematically searched for articles, published in English language, from inception through 15 May 2021 using the following Medical Subject Heading (MESH) terms: COVID-19 [Title/Abstract] AND pulmonary arterial pressure [Title/ Abstract] OR Echocardiography [Title/Abstract]. The difference of sPAP measurement obtained at transthoracic echocardiography between nonsurvivors and survivors was expressed as mean difference with the corresponding 95% confidence interval (CI) using a random-effect model. RESULTS: Nine studies, enrolling 788 patients (mean age 62.8 years old, 479,men) met the inclusion criteria and were included into the analysis. Using a randomeffect mode, sPAP was 11.8mmHg (95% CI, 6.60-16.97; P < 0.0001, I2 = 89.3%) higher in NS compared with S. Sensitivity analysis confirmed yielded results. CONCLUSIONS: COVID-19 NS had a higher sPAP compared with S, reinforcing previous observations demonstrating the critical role of RV function in determining the short-term outcome of COVID-19 patients."
