ID,Author,Publication Year,Title,Journal,Abstract
10,M. Zuin; G. Rigatelli; L. Roncon; G. Zuliani,2021,Relationship between echocardiographic tricuspid annular plane systolic excursion and mortality in COVID-19 patients: A Meta-analysis,Echocardiography,"BACKGROUND: The evaluation of the tricuspid annular plane systolic excursion (TAPSE) is recommended to assess the right ventricular (RV) systolic function. We performed an updated meta-analysis of the association between TAPSE and short-term mortality in COVID-19 patients. METHODS: MEDLINE and Scopus databases were searched to locate all the articles published up to May 1, 2021, reporting data on TAPSE among COVID-19 survivors and non-survivors. The difference of TAPSE between the two groups was expressed as mean difference (MD) with the corresponding 95% confidence interval (CI) using the Mantel-Haenszel random effects model. Both Q value and I(2) statistics were used to assess heterogeneity across studies. Sensitivity analysis, meta-regression, and evaluation of bias were performed. RESULTS: Twelve studies, enrolling 1272 COVID-19 patients (778 males, mean age 69.3 years), met the inclusion criteria and were included in the final analysis. Non-survivors had a lower TAPSE compared to survivors (MD =  -3.089 mm, 95% CI =  -4.087 to -2.091, p < 0.0001, I(2 ) = 79.0%). Both the visual inspection of the funnel plot and the Egger's tests (t = 1.195, p = 0.259) revealed no evidence of publication bias. Sensitivity analysis confirmed yielded results. Meta-regression analysis evidenced that the difference in TAPSE between the two groups was only influenced by pre-existing chronic obstructive pulmonary disease (COPD, p = 0.02). CONCLUSION: COVID-19 non-survivors have a lower TAPSE when compared to survivors, especially in COPD subjects. Current data suggest that the TAPSE assessment may provide useful information regarding the short-term prognosis of COVID-19 patients during the infection."
11,M. Zuin; G. Rigatelli; L. Roncon; G. Pasquetto; C. Bilato,2023,Risk of incident heart failure after COVID-19 recovery: a systematic review and meta-analysis,Heart Fail Rev,"Patients recovered from COVID-19 have an increased incidence of cardiovascular disease and heart structural changes. The aim of the present manuscript is to assess the risk of incident heart failure (HF) after COVID-19 infection. Data were obtained searching MEDLINE and Scopus for all studies published at any time up to September 1, 2022 reporting the risk of incident HF in COVID-19 recovered patients. The cumulative post-COVID-19 incidence and risk of incident HF were pooled using a random effects model and presented with the corresponding 95% confidence interval (CI). Statistical heterogeneity was measured using the Higgins I(2) statistic. Overall, 21,463,173 patients (mean age 54.5 years, 58.7% males) were analyzed. Among them, 1,628,424 had confirmed COVID-19 infection while the remaining 19,834,749 represented the controls. The mean length of follow-up was 9.2 months. A random effect model revealed a pooled incidence of post COVID-19 HF in 1.1% of cases (95% CI: 0.7-1.6, I(2): 99.8%). Moreover, recovered COVID-19 patients showed an increased risk of incident HF (HR: 1.90, 95% CI: 1.54-3.24, p < 0.0001, I(2) = 96.5%) in the same follow-up period. Meta-regression showed a direct relationship for the risk of incident HF using age (p = 0.001) and hypertension (HT) (p = 0.02) as moderators, while an inverse association was observed when the follow-up length was adopted as moderating variable (p = 0.01). COVID-19 survivors had an additional 90% risk of developing HF after COVID-19 infection in the long-term period. This risk was directly related with age and previous history of HT especially in the early post-acute phase of the infection."
12,M. Zuin; G. Rigatelli; M. J. Bilato; C. Bilato; L. Roncon,2023,Prevalence of pre-existing peripheral artery disease in COVID-19 patients and relative mortality risk: Systematic review and meta-analysis,Vascular,"INTRODUCTION: This study aims to assess prevalence and prognostic implications of pre-existing peripheral artery disease (PAD) in patients infected by the SARS-CoV-2 by means of a systematic review and meta-analysis. MATERIAL AND METHODS: We searched MEDLINE and Scopus to locate all the articles published up to 10 December 2021, reporting data on pre-existing PAD among COVID-19 survivors (S) and non survivors (NS). The pooled prevalence of pre-existing PAD in COVID-19 patients was calculated using a random effects model and presenting the related 95% confidence interval (CI), while the mortality risk was estimated using the Mantel-Haenszel random effects models with odds ratio (OR) and related 95% CI. Statistical heterogeneity was measured using the Higgins I(2) statistic. RESULTS: Eight investigations, enrolling 13,776 COVID-19 patients (mean age: 67.1 years, 3.863 males), met the inclusion criteria and were included in the final analysis. The pooled prevalence of pre-existing PAD was 5.7% of cases (95% CI: 3.8-8.4%, p < 0.0001), with high heterogeneity (I(2) = 84.5%), which was directly correlated with age (p < 0.0001), previous hypertension (p = 0.003), and dyslipidaemia (p = 0.02) as demonstrated by the meta-regression. Moreover, pre-existing PAD was significantly associated with higher risk of short-term death in patients with SARS-CoV-2 infection (OR: 2.78, 95% CI: 2.37-3.27, p < 0.0001 I(2) = 0%); the sensitivity analysis confirmed yielded results. CONCLUSIONS: Pre-existing PAD represents a comorbidity in about 1 out of 6 COVID-19 patients, but it is associated with a twofold higher risk of short-term mortality."
13,M. Zuin; G. Rigatelli; C. Bilato; A. Rigatelli; L. Roncon; F. Ribichini,2022,Preexisting coronary artery disease among coronavirus disease 2019 patients: a systematic review and meta-analysis,J Cardiovasc Med (Hagerstown),"AIMS: The prevalence and prognostic implications of coronary artery disease (CAD) in patients infected by the novel coronavirus 2019 (COVID-19) disease remain unclear. METHODS: We conducted a systematic review and meta-analysis to investigate the prevalence and mortality risk in COVID-19 patients with preexisting CAD. We searched Medline and Scopus to locate all articles published up to December 8, 2021, reporting data of COVID-19 survivors and nonsurvivors with preexisting CAD. Data were pooled using the Mantel-Haenszel random effects models with odds ratio (OR) as the effect measure with the related 95% confidence interval (CI). RESULTS: Thirty-eight studies including 27 435 patients (mean age 61.5 and 70.9 years) were analysed. The pooled prevalence of preexisting CAD was 12.6% (95% CI: 11.2-16.5%, I2 : 95.6%), and resulted as higher in intensive care unit patients (17.5%, 95% CI: 11.9-25.1, I2 : 88.4%) and in European cohorts (13.1%, 95% CI: 7.8-21.6%, P  < 0.001, I2 : 98.4%). COVID-19 patients with preexisting CAD had a two-fold risk of short-term mortality (OR 2.61, 95% CI 2.10-3.24, P  < 0.001, I2  = 73.6%); this risk was higher among Asian cohorts (OR: 2.66, 95% CI: 1.79-3.90, P  < 0.001, I2 : 77.3%) compared with European (OR: 2.44, 95% CI: 1.90-3.14, P  < 0.001, I2 : 56.9%) and American (OR: 1.86, 95% CI: 1.41-2.44, P  < 0.001, I2 : 0%) populations. The association between CAD and poor short-term prognosis was influenced by age, prevalence of hypertension (HT), DM and CKD. CONCLUSIONS: Preexisting CAD is present in approximately 1 in 10 patients hospitalized for COVID-19 and significantly associated with an increased risk of short-term mortality, which is influenced by age, HT, DM and CKD."
14,M. Zuin; G. Rigatelli; C. Bilato; L. Quadretti; L. Roncon; G. Zuliani,2022,COVID-19 patients with acute pulmonary embolism have a higher mortality risk: systematic review and meta-analysis based on Italian cohorts,J Cardiovasc Med (Hagerstown),"BACKGROUND: Acute pulmonary embolism has been recognized as a frequent complication of COVID-19 infection influencing the clinical course and outcomes of these patients. OBJECTIVES: We performed a systematic review and meta-analysis to evaluate the mortality risk in COVID-19 Italian patients complicated by acute pulmonary embolism in the short-term period. METHODS: The study was performed in accordance with the Preferred Report Items for Systematic Reviews and Meta-analyses guidelines. PubMed-MEDLINE and Scopus databases were systematically searched for articles, published in the English language and enrolling Italian cohorts with confirmed COVID-19 infection from inception through 20 October 2021. Mortality risk data were pooled using the Mantel-Haenszel random effects models with odds ratio as the effect measure with 95% confidence interval. Heterogeneity among studies was assessed using Higgins and Thomson I2 statistic. RESULTS: Eight investigations enrolling 1.681 patients (mean age 64.9 years, 1125 males) met the inclusion criteria and were considered for the analysis. A random-effect model showed that acute pulmonary embolism was present in 19.0% of Italian patients with COVID-19 infection. Moreover, these patients were at higher mortality risk compared with those without (odds ratio: 1.76, 95% confidence interval: 1.26-2.47, P  = 0.001, I2  = 0%). Sensitivity analysis confirmed yielded results. CONCLUSION: In Italian patients with COVID-19 infection, acute pulmonary embolism was present in about one out of five and significantly associated with a higher mortality risk in the short-term period. The identification of acute pulmonary embolism in these patients remains critical to promptly identify vulnerable populations who would require prioritization in treatment and prevention and close monitoring."
15,M. Zuin; G. Rigatelli; C. Bilato; A. Porcari; M. Merlo; L. Roncon; G. Sinagra,2023,One-Year Risk of Myocarditis After COVID-19 Infection: A Systematic Review and Meta-analysis,Can J Cardiol,"BACKGROUND: Acute myocarditis has been described as a relatively rare cardiovascular complication of COVID-19 infection. However, data regarding the risk of myocarditis during the post-acute phase of COVID-19 are scant. We assess the risk of incident myocarditis in COVID-19 survivors within 1 year from the index infection by a systematic review and meta-analysis of the available data. METHODS: Data were obtained by searching Medline and Scopus for all studies published at any time up to September 1, 2022, and reporting the long-term risk of incident myocarditis in COVID-19 survivors. Myocarditis risk data were pooled using the Mantel-Haenszel random-effects models with hazard ratio (HR) as the effect measure with 95% confidence interval (CI). Heterogeneity among studies was assessed using the Higgins-Thompson I(2) statistic. RESULTS: Overall, 20,875,843 patients (mean age 56.1 years, 59.1% male) were included in this analysis. Of them, 1,245,167 experienced (and survived) COVID-19 infection. Over a mean follow-up of 9.5 months, myocarditis occurred to 0.21 (95% CI 0.13-0.42) out of 1000 patients survived to COVID-19 infection compared with 0.09 [95% CI 0.07-0.12) out of 1000 control subjects. Pooled analysis revealed that recovered COVID-19 patients presented an increased risk of incident myocarditis (HR 5.16, 95% CI 3.87-6.89; P < 0.0001; I(2) = 7.9%) within 1 year from the index infection. The sensitivity analysis confirmed yielded results. CONCLUSIONS: Our findings suggest that myocarditis represents a relatively rare but important post-acute COVID-19 sequelae."
16,M. Zuin; G. Rigatelli; C. Bilato; G. Pasquetto; A. Mazza,2023,Risk of Incident New-Onset Arterial Hypertension After COVID-19 Recovery: A Systematic Review and Meta-analysis,High Blood Press Cardiovasc Prev,"INTRODUCTION: Arterial Hypertension (HT) has been described as a common comorbidity and independent risk factor of short-term outcome in COVID-19 patients. However, data regarding the risk of new-onset HT during the post-acute phase of COVID-19 are scant. AIM: We assess the risk of new-onset HT in COVID-19 survivors within one year from the index infection by a systematic review and meta-analysis of the available data. METHODS: Data were obtained searching MEDLINE and Scopus for all studies published at any time up to February 11, 2023, and reporting the long-term risk of new-onset HT in COVID-19 survivors. Risk data were pooled using the Mantel-Haenszel random effects models with Hazard ratio (HR) as the effect measure with 95% confidence interval (CI). Heterogeneity among studies was assessed using I(2) statistic. RESULTS: Overall, 19,293,346 patients (mean age 54.6 years, 54.6% males) were included in this analysis. Of them, 758,698 survived to COVID-19 infection. Over a mean follow-up of 6.8 months, new-onset HT occurred to 12.7 [95% CI 11.4-13.5] out of 1000 patients survived to COVID-19 infection compared to 8.17 [95% CI 7.34-8.53] out of 1000 control subjects. Pooled analysis revealed that recovered COVID-19 patients presented an increased risk of new-onset HT (HR 1.70, 95% CI 1.46-1.97, p < 0.0001, I(2) = 78.9%) within seven months. This risk was directly influenced by age (p = 0.001), female sex (p = 0.03) and cancer (p < 0.0001) while an indirect association was observed using the follow-up length as moderator (p < 0.0001). CONCLUSIONS: Our findings suggest that new-onset HT represents an important post-acute COVID-19 sequelae."
17,M. Zuin; G. Rigatelli; V. Battisti; G. Costola; L. Roncon; C. Bilato,2023,Increased risk of acute myocardial infarction after COVID-19 recovery: A systematic review and meta-analysis,Int J Cardiol,"BACKGROUND: Few studies have analyzed the incidence and the risk of acute myocardial infarction (AMI) during the post-acute phase of COVID-19 infection. OBJECTIVE: To assess the incidence and risk of AMI in COVID-19 survivors after SARS-CoV-2 infection by a systematic review and meta-analysis of the available data. METHODS: Data were obtained searching MEDLINE and Scopus for all studies published at any time up to September 1, 2022 and reporting the risk of incident AMI in patients recovered from COVID-19 infection. AMI risk was evaluated using the Mantel-Haenszel random effects models with Hazard ratio (HR) as the effect measure with 95% confidence interval (CI) while heterogeneity was assessed using Higgins and Thomson I(2) statistic. RESULTS: Among 2765 articles obtained by our search strategy, four studies fulfilled the inclusion criteria for a total of 20,875,843 patients (mean age 56.1 years, 59.1% males). Of them, 1,244,604 had COVID-19 infection. Over a mean follow-up of 8.5 months, among COVID-19 recovered patients AMI occurred in 3.5 cases per 1.000 individuals compared to 2.02 cases per 1.000 individuals in the control cohort, defined as those who did not experience COVID-19 infection in the same period). COVID-19 patients showed an increased risk of incident AMI (HR: 1.93, 95% CI: 1.65-2.26, p < 0.0001, I(2) = 83.5%). Meta-regression analysis demonstrated that the risk of AMI was directly associated with age (p = 0.01) and male gender (p = 0.001), while an indirect relationship was observed when the length of follow-up was utilized as moderator (p < 0.001). CONCLUSION: COVID-19 recovered patients had an increased risk of AMI."
18,M. Zuin; M. Mazzitelli; G. Rigatelli; C. Bilato; A. M. Cattelan,2023,Risk of ischemic stroke in patients recovered from COVID-19 infection: A systematic review and meta-analysis,Eur Stroke J,"BACKGROUND: Data regarding the risk of ischemic stroke within 1 year after the post-acute phase of COVID-19 remain scant. We assess the risk of ischemic stroke in COVID-19 survivors after SARS-CoV-2 infection by performing a systematic review and meta-analysis of the available data. METHODS: Following the PRISMA guidelines, we searched Medline and Scopus to locate all articles published up to February 11, 2023, reporting the risk of incident ischemic stroke in adult patients recovered from COVID-19 infection compared to non-infected patients (controls) defined as those who did not experience the infection over the same follow-up period. Ischemic stroke risk was evaluated using the Mantel-Haenszel random effects models with adjusted Hazard ratio (HR) as the effect measure with 95% confidence interval (CI) while heterogeneity was assessed using Higgins I(2) statistic. RESULTS: Overall, 23,559,428 patients (mean age 56, 1 year, 54.3% males), of whom 1,595,984 had COVID-19, were included. Over a mean follow-up of 9.2 months, ischemic stroke occurred in 4.40 [95% CI: 4.36-4.43] out of 1000 patients survived to COVID-19 compared to 3.25 [95% CI:3.21-3.29] out of 1000 controls. Recovered COVID-19 patients presented a higher risk of ischemic stroke ((HR: 2.06, 95% CI: 1.75-2.41, p < 0.0001, I(2) = 63.7%) compared to people who did not have COVID-19. COVID-19 patients hospitalized at the time of the infection have a subsequent higher risk of stroke during the follow-up compared to those non-hospitalized. CONCLUSIONS: Recovered COVID-19 patients have a higher risk of ischemic stroke compared to subjects from the general population within 9 months from the index infection."
19,M. Zuin; M. Imazio; G. Rigatelli; G. Pasquetto; C. Bilato,2023,Risk of incident pericarditis after coronavirus disease 2019 recovery: a systematic review and meta-analysis,J Cardiovasc Med (Hagerstown),"AIMS: Data regarding the risk of incident pericarditis in coronavirus disease 2019 (COVID-19) recovered patients are lacking. We determined the risk of incident pericarditis after COVID-19 infection by performing a systematic review and meta-analysis of available data. METHODS: Following the PRISMA guidelines, we searched MEDLINE and Scopus to locate all articles published up to 11 February 2023 reporting the risk of incident pericarditis in patients who had recovered from COVID-19 infection compared to noninfected patients (controls) defined as those who did not experience the disease over the same follow-up period. Pericarditis risk was evaluated using the Mantel-Haenszel random effects models with hazard ratio (HR) as the effect measure with 95% confidence interval (CI) while heterogeneity was assessed using Higgins I2 statistic. RESULTS: Overall, 16 412 495 patients (mean age 55.1 years, 76.8% males), of whom 1 225 715 had COVID-19 infection, were included. Over a mean follow-up of 9.6 months, pericarditis occurred in 3.40 (95% CI: 3.39-3.41) out of 1000 patients who survived COVID-19 infection compared with 0.82 (95% CI: 0.80-0.83) out of 1000 control patients. Recovered COVID-19 patients presented a higher risk of incident pericarditis (HR: 1.95, 95% CI: 1.56-2.43, I2 : 71.1%) compared with controls. Meta-regression analysis showed a significant direct relationship for the risk of incident pericarditis using HT ( P  = 0.02) and male sex ( P  = 0.02) as moderators, while an indirect association was observed when age ( P  = 0.01) and the follow-up length ( P  = 0.02) were adopted as moderating variables. CONCLUSIONS: Recovered COVID-19 patients have a higher risk of pericarditis compared with patients from the general population."
20,M. Zuin; V. Gentili; C. Cervellati; R. Rizzo; G. Zuliani,2021,Viral Load Difference between Symptomatic and Asymptomatic COVID-19 Patients: Systematic Review and Meta-Analysis,Infect Dis Rep,"We conducted a systematic review and meta-analysis to investigate the possible difference in the SARS-CoV-2 viral load between asymptomatic and symptomatic COVID-19 patients. Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines were followed in abstracting data and assessing validity. We searched MEDLINE, Scopus, Web of Science and Google Scholar for all investigations in the English language, reporting data on the threshold cycle (C(t)) from real-time RT-PCR assays for the RNA-dependent RNA polymerase (RdRp), envelope (E) and nucleocapsid (N) SARS-CoV-2 genes in asymptomatic and symptomatic COVID-19 patients. Results: Overall, 703 COVID-19 patients (553 symptomatic and 150 asymptomatic) were analyzed. Five investigations reported the mean age of patients, evidencing that asymptomatic patients were younger than symptomatic patients (34.0 vs. 40.3 years, respectively). Pooled data regarding the levels of expression of the RdRp gene revealed no significant difference between symptomatic and asymptomatic subjects. Similarly, no differences were observed comparing the mean C(t) values for the E and N genes. Based on real-time RT-PCR data, no differences exist in the viral load between symptomatic and asymptomatic COVID-19 subjects considering C(t) values for RdRp, E and N genes' expression. Asymptomatic subjects may represent a reservoir of the infection and significantly contribute to the maintenance of the pandemic."
